STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,airpol,Air pollutants and greenhouse gases,src_crf,"Source sectors for greenhouse gas emissions (Common reporting format, UNFCCC)",geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2015,,0.03087,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2016,,0.03084,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2017,,0.03199,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2018,,0.02887,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2019,,0.02811,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2020,,0.02726,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2021,,0.02873,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2022,,0.02657,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2023,,0.02694,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,AT,Austria,2024,,0.0264,,,,,
dataflow,ESTAT:ENV_AIR_GGE$DEFAULTVIEW(1.0),Greenhouse gas emissions by source sector,A,Annual,MIO_T,Million tonnes,CH4,Methane,CRF1,Energy,BE,Belgium,2015,,0.0336,,,,,
