freq,size_emp,nace_r2,indic_is,unit,country_code,year,ai_adoption_pct
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,AL,2021,3.67
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,AL,2024,8.91
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,AL,2025,8.99
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,AT,2021,8.83
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,AT,2023,10.79
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,AT,2024,20.27
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,AT,2025,29.95
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BA,2021,2.07
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BA,2023,5.34
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BA,2024,6.36
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BA,2025,10.78
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BE,2021,10.32
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BE,2023,13.81
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BE,2024,24.71
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BE,2025,34.54
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BG,2021,3.29
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BG,2023,3.62
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BG,2024,6.47
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,BG,2025,8.55
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,CY,2021,2.59
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,CY,2023,4.67
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,CY,2024,7.9
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,CY,2025,9.27
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,CZ,2021,4.46
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,CZ,2023,5.9
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,CZ,2024,11.26
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,CZ,2025,17.6
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,DE,2021,10.56
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,DE,2023,11.55
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,DE,2024,19.75
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,DE,2025,25.97
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,DK,2021,23.89
A,GE10,C10-S951_X_K,E_AI_TANY,PC_ENT,DK,2023,15.17
