gas,gas_name,sector,sector_name,geo,country,year,emissions
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2015,10.33398
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2016,10.1192
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2017,10.73059
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2018,9.8849
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2019,9.92108
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2020,8.55318
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2021,8.56969
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2022,8.06038
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2023,7.18464
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,AT,Austria,2024,7.14749
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2015,20.62141
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2016,19.32472
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2017,19.46067
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2018,19.41715
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2019,20.72136
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2020,18.7776
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2021,18.01829
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2022,18.33756
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2023,15.52537
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BE,Belgium,2024,14.68376
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2015,29.65307
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2016,26.25968
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2017,27.54382
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2018,23.41659
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2019,22.42867
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2020,17.81726
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2021,21.97654
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2022,26.87426
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2023,15.67248
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,BG,Bulgaria,2024,12.7651
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2015,3.29539
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2016,3.39306
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2017,3.32288
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2018,3.39679
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2019,3.4181
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2020,3.38617
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2021,3.34934
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2022,3.29642
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2023,3.18848
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CH,Switzerland,2024,3.18918
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2015,3.023
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2016,3.3
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2017,3.28783
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2018,3.34236
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2019,3.28206
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2020,3.02311
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2021,3.07769
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2022,3.10471
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2023,3.04992
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CY,Cyprus,2024,3.21545
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2015,53.40585
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2016,54.1654
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2017,53.38395
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2018,52.67557
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2019,48.93297
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2020,41.37875
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2021,40.7816
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2022,42.54548
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2023,35.46937
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,CZ,Czechia,2024,31.69518
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2015,335.8634
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2016,331.69121
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2017,312.43312
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2018,298.84782
CO2,Carbon dioxide,CRF1A1,Fuel combustion in energy industries,DE,Germany,2019,248.68889
