geo,country,year,renewable_energy_share
AL,Albania,2015,34.913
AL,Albania,2016,36.953
AL,Albania,2017,35.776
AL,Albania,2018,36.572
AL,Albania,2019,38.042
AL,Albania,2020,45.015
AL,Albania,2021,41.389
AL,Albania,2022,44.076
AL,Albania,2023,46.62
AL,Albania,2024,43.111
AT,Austria,2015,33.497
AT,Austria,2016,33.37
AT,Austria,2017,33.136
AT,Austria,2018,33.784
AT,Austria,2019,33.755
AT,Austria,2020,36.545
AT,Austria,2021,34.643
AT,Austria,2022,34.057
AT,Austria,2023,41.6
AT,Austria,2024,42.951
BA,Bosnia and Herzegovina,2015,26.607
BA,Bosnia and Herzegovina,2016,25.358
BA,Bosnia and Herzegovina,2017,23.241
BA,Bosnia and Herzegovina,2018,35.972
BA,Bosnia and Herzegovina,2019,37.454
BA,Bosnia and Herzegovina,2020,39.835
BA,Bosnia and Herzegovina,2021,36.587
BA,Bosnia and Herzegovina,2022,39.32
BA,Bosnia and Herzegovina,2023,40.038
BA,Bosnia and Herzegovina,2024,38.524
BE,Belgium,2015,8.06
BE,Belgium,2016,8.744
BE,Belgium,2017,9.136
BE,Belgium,2018,9.472
BE,Belgium,2019,9.929
BE,Belgium,2020,13.0
BE,Belgium,2021,13.017
BE,Belgium,2022,13.831
BE,Belgium,2023,14.673
BE,Belgium,2024,14.336
BG,Bulgaria,2015,18.261
BG,Bulgaria,2016,18.76
BG,Bulgaria,2017,18.695
BG,Bulgaria,2018,20.581
BG,Bulgaria,2019,21.545
BG,Bulgaria,2020,23.319
BG,Bulgaria,2021,19.394
BG,Bulgaria,2022,19.079
BG,Bulgaria,2023,23.151
BG,Bulgaria,2024,23.21
CY,Cyprus,2015,9.903
CY,Cyprus,2016,9.833
CY,Cyprus,2017,10.478
CY,Cyprus,2018,13.873
CY,Cyprus,2019,13.777
CY,Cyprus,2020,16.879
CY,Cyprus,2021,19.069
CY,Cyprus,2022,19.427
CY,Cyprus,2023,20.213
CY,Cyprus,2024,20.844
CZ,Czechia,2015,15.07
CZ,Czechia,2016,14.926
CZ,Czechia,2017,14.799
CZ,Czechia,2018,15.139
CZ,Czechia,2019,16.239
CZ,Czechia,2020,17.303
CZ,Czechia,2021,17.614
CZ,Czechia,2022,18.123
CZ,Czechia,2023,18.555
CZ,Czechia,2024,19.211
DE,Germany,2015,14.901
DE,Germany,2016,14.885
DE,Germany,2017,15.472
DE,Germany,2018,16.66
DE,Germany,2019,17.266
DE,Germany,2020,19.09
DE,Germany,2021,19.302
DE,Germany,2022,20.829
DE,Germany,2023,21.512
DE,Germany,2024,22.474
DK,Denmark,2015,30.469
DK,Denmark,2016,31.715
DK,Denmark,2017,34.387
DK,Denmark,2018,35.159
DK,Denmark,2019,37.02
DK,Denmark,2020,31.681
DK,Denmark,2021,41.494
DK,Denmark,2022,41.368
DK,Denmark,2023,43.728
DK,Denmark,2024,46.461
EA20,Euro area – 20 countries (2023-2025),2021,20.661
EA20,Euro area – 20 countries (2023-2025),2022,21.749
EA20,Euro area – 20 countries (2023-2025),2023,23.429
EA20,Euro area – 20 countries (2023-2025),2024,24.205
EA21,Euro area – 21 countries (from 2026),2021,40.055
EA21,Euro area – 21 countries (from 2026),2022,40.828
EA21,Euro area – 21 countries (from 2026),2023,46.58
EA21,Euro area – 21 countries (from 2026),2024,47.417
EE,Estonia,2015,28.987
EE,Estonia,2016,29.232
EE,Estonia,2017,29.538
EE,Estonia,2018,29.97
EE,Estonia,2019,31.73
EE,Estonia,2020,30.069
EE,Estonia,2021,37.342
EE,Estonia,2022,38.542
EE,Estonia,2023,40.95
EE,Estonia,2024,42.232
EL,Greece,2015,15.69
EL,Greece,2016,15.39
EL,Greece,2017,17.3
