,city,geo
0,Amsterdam,NL
1,Paris,FR
2,Paris,FR
3,Paris,FR
4,Paris,FR
5,Paris,FR
6,Vénissieux,FR
7,Frankfurt,DE
8,Frankfurt,DE
9,Frankfurt,DE
10,Amsterdam,NL
11,Amsterdam,NL
12,Amsterdam,NL
13,Amsterdam,NL
14,Vienna,AT
15,Vienna,AT
16,Brussels,BE
17,Paris,FR
18,Paris,FR
19,Frankfurt,DE
20,Paris,FR
21,Amsterdam,NL
22,Milan,IT
23,Amsterdam,NL
24,Düsseldorf,DE
25,Frankfurt,DE
26,Munich,DE
27,Ede,NL
28,Frankfurt,DE
29,Paris,FR
30,Antibes,FR
31,Enschede,NL
32,Frankfurt,DE
33,Madrid,ES
34,Barcelona,ES
35,Lisbon,PT
36,Alcobendas,ES
37,Madrid,ES
38,Brussels,BE
39,Barcelona,ES
40,Copenhagen,DK
41,Düsseldorf,DE
42,Milan,IT
43,Berlin,DE
44,Stockholm,SE
45,Taastrup,DK
46,Dublin,IE
47,Madrid,ES
48,Dublin,IE
49,Dublin,IE
50,Madrid,ES
51,Dublin,IE
52,Paris,FR
53,Nuremberg,DE
54,Ghent,BE
55,Antwerp,BE
56,Antwerp,BE
57,Munich,DE
58,Brussels,BE
59,Nuremberg,DE
60,Stockholm,SE
61,Stockholm,SE
62,Stockholm,SE
63,Rotterdam,NL
64,Sittard,NL
65,Prague,CZ
66,Prague,CZ
67,Prague,CZ
68,Prague,CZ
69,Düsseldorf,DE
70,Luxembourg,LU
71,Copenhagen,DK
72,Marseille,FR
73,Roissy-en-France,FR
74,Lille,FR
75,Paris,FR
76,Bordeaux,FR
77,Strasbourg,FR
78,Hilversum,NL
79,Amsterdam,NL
80,Oude Meer,NL
81,Aalsmeer,NL
82,Coburg,DE
83,Doetinchem,NL
84,Montpellier,FR
85,Stockholm,SE
86,Stockholm,SE
87,Vienna,AT
88,Düsseldorf,DE
89,Amsterdam,NL
90,Nice,FR
91,Antibes,FR
92,Toulouse,FR
93,Bucharest,RO
94,Düsseldorf,DE
95,Frankfurt,DE
96,Nossegem,BE
97,Dublin,IE
98,Machelen,BE
99,Brussels,BE
100,Frankfurt,DE
