geo;freq;siec;nrg_cons;unit;tax;currency;period;value;year;semester
CZ;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S1;0.1573;2007;S1
DE;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S1;0.2258;2007;S1
EA;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S1;0.2138;2007;S1
HR;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S1;0.1223;2007;S1
LU;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S1;0.2219;2007;S1
NL;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S1;0.1377;2007;S1
SE;S;E7000;KWH1000-2499;KWH;I_TAX;EUR;2007-S1;0.1567;2007;S1
CZ;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S1;0.1321;2007;S1
DE;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S1;0.1418;2007;S1
EA;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S1;0.1433;2007;S1
HR;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S1;0.1006;2007;S1
LU;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S1;0.2013;2007;S1
NL;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S1;0.1506;2007;S1
SE;S;E7000;KWH1000-2499;KWH;X_TAX;EUR;2007-S1;0.0976;2007;S1
CZ;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S1;0.1321;2007;S1
DE;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S1;0.1903;2007;S1
EA;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S1;0.1802;2007;S1
HR;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S1;0.1006;2007;S1
LU;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S1;0.2093;2007;S1
NL;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S1;0.1157;2007;S1
SE;S;E7000;KWH1000-2499;KWH;X_VAT;EUR;2007-S1;0.1253;2007;S1
CZ;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S1;0.1144;2007;S1
DE;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S1;0.2025;2007;S1
EA;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S1;0.1987;2007;S1
HR;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S1;0.0924;2007;S1
LU;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S1;0.1684;2007;S1
NL;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S1;0.1759;2007;S1
SE;S;E7000;KWH2500-4999;KWH;I_TAX;EUR;2007-S1;0.1558;2007;S1
CZ;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S1;0.0963;2007;S1
DE;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S1;0.1227;2007;S1
EA;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S1;0.1238;2007;S1
HR;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S1;0.0761;2007;S1
LU;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S1;0.1509;2007;S1
NL;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S1;0.1299;2007;S1
SE;S;E7000;KWH2500-4999;KWH;X_TAX;EUR;2007-S1;0.0968;2007;S1
CZ;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S1;0.0963;2007;S1
DE;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S1;0.1702;2007;S1
EA;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S1;0.1671;2007;S1
HR;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S1;0.0761;2007;S1
LU;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S1;0.1589;2007;S1
NL;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S1;0.1478;2007;S1
SE;S;E7000;KWH2500-4999;KWH;X_VAT;EUR;2007-S1;0.1246;2007;S1
CZ;S;E7000;KWH5000-14999;KWH;I_TAX;EUR;2007-S1;0.0806;2007;S1
DE;S;E7000;KWH5000-14999;KWH;I_TAX;EUR;2007-S1;0.1888;2007;S1
EA;S;E7000;KWH5000-14999;KWH;I_TAX;EUR;2007-S1;0.1893;2007;S1
HR;S;E7000;KWH5000-14999;KWH;I_TAX;EUR;2007-S1;0.0897;2007;S1
LU;S;E7000;KWH5000-14999;KWH;I_TAX;EUR;2007-S1;0.1552;2007;S1
NL;S;E7000;KWH5000-14999;KWH;I_TAX;EUR;2007-S1;0.1935;2007;S1
SE;S;E7000;KWH5000-14999;KWH;I_TAX;EUR;2007-S1;0.1389;2007;S1
CZ;S;E7000;KWH5000-14999;KWH;X_TAX;EUR;2007-S1;0.0678;2007;S1
DE;S;E7000;KWH5000-14999;KWH;X_TAX;EUR;2007-S1;0.1112;2007;S1
EA;S;E7000;KWH5000-14999;KWH;X_TAX;EUR;2007-S1;0.1125;2007;S1
HR;S;E7000;KWH5000-14999;KWH;X_TAX;EUR;2007-S1;0.0734;2007;S1
LU;S;E7000;KWH5000-14999;KWH;X_TAX;EUR;2007-S1;0.1384;2007;S1
NL;S;E7000;KWH5000-14999;KWH;X_TAX;EUR;2007-S1;0.1195;2007;S1
SE;S;E7000;KWH5000-14999;KWH;X_TAX;EUR;2007-S1;0.0833;2007;S1
CZ;S;E7000;KWH5000-14999;KWH;X_VAT;EUR;2007-S1;0.0678;2007;S1
DE;S;E7000;KWH5000-14999;KWH;X_VAT;EUR;2007-S1;0.1586;2007;S1
EA;S;E7000;KWH5000-14999;KWH;X_VAT;EUR;2007-S1;0.1591;2007;S1
HR;S;E7000;KWH5000-14999;KWH;X_VAT;EUR;2007-S1;0.0734;2007;S1
LU;S;E7000;KWH5000-14999;KWH;X_VAT;EUR;2007-S1;0.1464;2007;S1
NL;S;E7000;KWH5000-14999;KWH;X_VAT;EUR;2007-S1;0.1626;2007;S1
SE;S;E7000;KWH5000-14999;KWH;X_VAT;EUR;2007-S1;0.111;2007;S1
CZ;S;E7000;KWH_GE15000;KWH;I_TAX;EUR;2007-S1;0.0714;2007;S1
DE;S;E7000;KWH_GE15000;KWH;I_TAX;EUR;2007-S1;0.18;2007;S1
EA;S;E7000;KWH_GE15000;KWH;I_TAX;EUR;2007-S1;0.1792;2007;S1
HR;S;E7000;KWH_GE15000;KWH;I_TAX;EUR;2007-S1;0.0666;2007;S1
LU;S;E7000;KWH_GE15000;KWH;I_TAX;EUR;2007-S1;0.1058;2007;S1
NL;S;E7000;KWH_GE15000;KWH;I_TAX;EUR;2007-S1;0.177;2007;S1
SE;S;E7000;KWH_GE15000;KWH;I_TAX;EUR;2007-S1;0.1241;2007;S1
CZ;S;E7000;KWH_GE15000;KWH;X_TAX;EUR;2007-S1;0.06;2007;S1
DE;S;E7000;KWH_GE15000;KWH;X_TAX;EUR;2007-S1;0.1063;2007;S1
EA;S;E7000;KWH_GE15000;KWH;X_TAX;EUR;2007-S1;0.1063;2007;S1
HR;S;E7000;KWH_GE15000;KWH;X_TAX;EUR;2007-S1;0.0544;2007;S1
LU;S;E7000;KWH_GE15000;KWH;X_TAX;EUR;2007-S1;0.0918;2007;S1
NL;S;E7000;KWH_GE15000;KWH;X_TAX;EUR;2007-S1;0.107;2007;S1
SE;S;E7000;KWH_GE15000;KWH;X_TAX;EUR;2007-S1;0.0714;2007;S1
CZ;S;E7000;KWH_GE15000;KWH;X_VAT;EUR;2007-S1;0.06;2007;S1
DE;S;E7000;KWH_GE15000;KWH;X_VAT;EUR;2007-S1;0.1513;2007;S1
EA;S;E7000;KWH_GE15000;KWH;X_VAT;EUR;2007-S1;0.1507;2007;S1
HR;S;E7000;KWH_GE15000;KWH;X_VAT;EUR;2007-S1;0.0544;2007;S1
LU;S;E7000;KWH_GE15000;KWH;X_VAT;EUR;2007-S1;0.0998;2007;S1
NL;S;E7000;KWH_GE15000;KWH;X_VAT;EUR;2007-S1;0.149;2007;S1
SE;S;E7000;KWH_GE15000;KWH;X_VAT;EUR;2007-S1;0.0993;2007;S1
CZ;S;E7000;KWH_LT1000;KWH;I_TAX;EUR;2007-S1;0.2106;2007;S1
DE;S;E7000;KWH_LT1000;KWH;I_TAX;EUR;2007-S1;0.3232;2007;S1
