geo;year;emissions;renewable_energy_share;ai_adoption_pct
AT;2021;8.56969;34.643;8.83
AT;2023;7.18464;41.6;10.79
AT;2024;7.14749;42.951;20.27
BE;2021;18.01829;13.017;10.32
BE;2023;15.52537;14.673;13.81
BE;2024;14.68376;14.336;24.71
BG;2021;21.97654;19.394;3.29
BG;2023;15.67248;23.151;3.62
BG;2024;12.7651;23.21;6.47
CY;2021;3.07769;19.069;2.59
CY;2023;3.04992;20.213;4.67
CY;2024;3.21545;20.844;7.9
CZ;2021;40.7816;17.614;4.46
CZ;2023;35.46937;18.555;5.9
CZ;2024;31.69518;19.211;11.26
DE;2021;238.22852;19.302;10.56
DE;2023;196.0917;21.512;11.55
DE;2024;181.19116;22.474;19.75
DK;2021;8.16465;41.494;23.89
DK;2023;6.48993;43.728;15.17
DK;2024;5.9592;46.461;27.58
EE;2021;6.95057;37.342;2.77
EE;2023;5.42266;40.95;5.19
EE;2024;4.69283;42.232;13.89
EL;2021;25.42011;22.001;2.61
EL;2023;20.90592;25.269;3.98
EL;2024;21.16429;25.364;9.81
ES;2021;40.63072;20.552;7.67
ES;2023;41.00174;24.981;9.18
ES;2024;36.48832;25.417;11.31
FI;2021;13.0511;42.819;15.79
FI;2023;9.74599;50.784;15.1
FI;2024;8.14454;52.124;24.37
FR;2021;39.52329;19.391;6.67
FR;2023;33.46075;22.462;5.88
FR;2024;28.32377;23.229;9.91
HR;2021;3.73098;31.285;8.74
HR;2023;4.05435;28.088;7.89
HR;2024;3.13805;26.477;11.76
HU;2021;11.42264;14.134;2.98
HU;2023;9.18504;17.117;3.68
HU;2024;8.65967;18.264;7.41
IE;2021;9.97847;12.945;7.88
IE;2023;7.65775;15.243;8.01
IE;2024;6.96009;16.064;14.9
IT;2021;85.43993;18.888;6.17
IT;2023;74.81956;19.179;5.05
IT;2024;63.5031;19.385;8.2
LT;2021;2.6158;28.167;4.45
LT;2023;2.3371;31.927;4.86
LT;2024;2.18599;35.408;8.76
LU;2021;0.25774;11.713;13.0
LU;2023;0.17756;14.312;14.45
LU;2024;0.15103;14.742;23.73
LV;2021;1.39268;42.112;3.72
LV;2023;0.9674;43.25;4.53
LV;2024;1.05236;45.535;8.83
MT;2021;0.77163;12.631;10.16
MT;2023;0.7987;15.437;13.17
MT;2024;0.7366;17.21;17.3
NL;2021;46.92285;13.117;13.1
NL;2023;37.08613;17.588;14.1
NL;2024;36.00612;20.18;23.06
NO;2021;13.13671;75.038;10.82
NO;2023;12.22452;76.729;9.17
NO;2024;11.71678;77.932;20.77
PL;2021;159.55027;15.604;2.86
PL;2023;127.03657;16.651;3.67
PL;2024;123.43294;17.77;5.9
PT;2021;8.20502;33.982;7.2
PT;2023;5.77902;35.154;7.86
PT;2024;4.25338;36.319;8.63
RO;2021;15.53112;23.871;1.38
RO;2023;12.72988;25.758;1.51
RO;2024;12.31798;25.378;3.07
SE;2021;8.79943;62.527;9.92
SE;2023;8.18897;66.393;10.37
SE;2024;7.99016;62.846;25.09
SI;2021;4.17869;25.0;11.73
SI;2023;3.29123;25.066;11.37
SI;2024;3.61551;25.001;20.89
SK;2021;7.26351;17.419;5.19
SK;2023;6.35316;16.991;7.04
SK;2024;5.29653;18.092;10.78
