geo,year,ai_adoption_pct,renewable_energy_share,emissions,country_name,datacenters
AL,2021,3.67,41.389,,Albania,0
AL,2024,8.91,43.111,,Albania,0
AL,2025,8.99,,,Albania,0
AT,2021,8.83,34.643,4289.129845,Austria,56
AT,2023,10.79,41.6,3595.9123200000004,Austria,56
AT,2024,20.27,42.951,3577.318745,Austria,56
AT,2025,29.95,,,Austria,56
BA,2021,2.07,36.587,,Bosnia and Herzegovina,0
BA,2023,5.34,40.038,,Bosnia and Herzegovina,0
BA,2024,6.36,38.524,,Bosnia and Herzegovina,0
BA,2025,10.78,,,Bosnia and Herzegovina,0
BE,2021,10.32,13.017,9018.154145,Belgium,42
BE,2023,13.81,14.673,7770.447685,Belgium,42
BE,2024,24.71,14.336,7349.22188,Belgium,42
BE,2025,34.54,,,Belgium,42
BG,2021,3.29,19.394,10999.25827,Bulgaria,30
BG,2023,3.62,23.151,7844.076239999999,Bulgaria,30
BG,2024,6.47,23.21,6388.93255,Bulgaria,30
BG,2025,8.55,,,Bulgaria,30
CY,2021,2.59,19.069,1540.383845,Cyprus,2
CY,2023,4.67,20.213,1526.48496,Cyprus,2
CY,2024,7.9,20.844,1609.332725,Cyprus,2
CY,2025,9.27,,,Cyprus,2
CZ,2021,4.46,17.614,20411.1908,Czechia,32
CZ,2023,5.9,18.555,17752.419685,Czechia,32
CZ,2024,11.26,19.211,15863.43759,Czechia,32
CZ,2025,17.6,,,Czechia,32
DE,2021,10.56,19.302,119233.37426,Germany,330
DE,2023,11.55,21.512,98143.89585,Germany,330
DE,2024,19.75,22.474,90686.17558,Germany,330
DE,2025,25.97,,,Germany,330
DK,2021,23.89,41.494,4086.4073249999997,Denmark,37
DK,2023,15.17,43.728,3248.209965,Denmark,37
DK,2024,27.58,46.461,2982.5796,Denmark,37
DK,2025,42.03,,,Denmark,37
EE,2021,2.77,37.342,3478.760285,Estonia,8
EE,2023,5.19,40.95,2714.04133,Estonia,8
EE,2024,13.89,42.232,2348.761415,Estonia,8
EE,2025,23.4,,,Estonia,8
EL,2021,2.61,22.001,12722.765055,Greece,0
EL,2023,3.98,25.269,10463.41296,Greece,0
EL,2024,9.81,25.364,10592.727145,Greece,0
EL,2025,8.93,,,Greece,0
ES,2021,7.67,20.552,20335.67536,Spain,71
ES,2023,9.18,24.981,20521.37087,Spain,71
ES,2024,11.31,25.417,18262.40416,Spain,71
ES,2025,20.27,,,Spain,71
FI,2021,15.79,42.819,6532.0755500000005,Finland,36
FI,2023,15.1,50.784,4877.867995,Finland,36
FI,2024,24.37,52.124,4076.34227,Finland,36
FI,2025,37.82,,,Finland,36
FR,2021,6.67,19.391,19781.406645,France,225
FR,2023,5.88,22.462,16747.105375,France,225
FR,2024,9.91,23.229,14176.046885,France,225
FR,2025,18.16,,,France,225
HR,2021,8.74,31.285,1867.35549,Croatia,12
HR,2023,7.89,28.088,2029.202175,Croatia,12
HR,2024,11.76,26.477,1570.594025,Croatia,12
HR,2025,15.19,,,Croatia,12
HU,2021,2.98,14.134,5717.03132,Hungary,7
HU,2023,3.68,17.117,4597.112520000001,Hungary,7
HU,2024,7.41,18.264,4334.164835,Hungary,7
HU,2025,10.37,,,Hungary,7
IE,2021,7.88,12.945,4994.224235,Ireland,24
IE,2023,8.01,15.243,3832.703875,Ireland,24
IE,2024,14.9,16.064,3483.525045,Ireland,24
IE,2025,19.64,,,Ireland,24
IT,2021,6.17,18.888,42762.68496499999,Italy,102
IT,2023,5.05,19.179,37447.18978,Italy,102
IT,2024,8.2,19.385,31783.30155,Italy,102
IT,2025,16.4,,,Italy,102
LT,2021,4.45,28.167,1309.2079,Lithuania,12
LT,2023,4.86,31.927,1169.71855,Lithuania,12
LT,2024,8.76,35.408,1094.0879949999999,Lithuania,12
LT,2025,21.3,,,Lithuania,12
LU,2021,13.0,11.713,128.99887,Luxembourg,16
LU,2023,14.45,14.312,88.86878,Luxembourg,16
LU,2024,23.73,14.742,75.590515,Luxembourg,16
LU,2025,33.61,,,Luxembourg,16
LV,2021,3.72,42.112,697.03634,Latvia,11
LV,2023,4.53,43.25,484.1837,Latvia,11
LV,2024,8.83,45.535,526.7061799999999,Latvia,11
LV,2025,12.21,,,Latvia,11
ME,2021,3.34,39.891,,Montenegro,0
ME,2023,5.61,40.883,,Montenegro,0
ME,2024,7.91,40.822,,Montenegro,0
ME,2025,10.05,,,Montenegro,0
MT,2021,10.16,12.631,386.200815,Malta,0
MT,2023,13.17,15.437,399.74935000000005,Malta,0
MT,2024,17.3,17.21,368.6683,Malta,0
MT,2025,21.51,,,Malta,0
NL,2021,13.1,13.117,23484.886425,Netherlands,160
NL,2023,14.1,17.588,18561.608065,Netherlands,160
NL,2024,23.06,20.18,18021.06306,Netherlands,160
NL,2025,33.21,,,Netherlands,160
NO,2021,10.82,75.038,6574.923355,Norway,0
NO,2023,9.17,76.729,6118.37226,Norway,0
NO,2024,20.77,77.932,5864.248390000001,Norway,0
NO,2025,28.89,,,Norway,0
PL,2021,2.86,15.604,79854.910135,Poland,80
PL,2023,3.67,16.651,63581.803285,Poland,80
PL,2024,5.9,17.77,61778.18647,Poland,80
PL,2025,8.36,,,Poland,80
PT,2021,7.2,33.982,4106.61251,Portugal,14
PT,2023,7.86,35.154,2892.39951,Portugal,14
PT,2024,8.63,36.319,2128.81669,Portugal,14
PT,2025,11.54,,,Portugal,14
RO,2021,1.38,23.871,7773.32556,Romania,45
RO,2023,1.51,25.758,6371.30494,Romania,45
RO,2024,3.07,25.378,6165.14899,Romania,45
RO,2025,5.21,,,Romania,45
RS,2021,0.9,25.255,,Serbia,0
RS,2023,1.82,25.428,,Serbia,0
RS,2024,6.95,25.862,,Serbia,0
RS,2025,10.12,,,Serbia,0
SE,2021,9.92,62.527,4404.114715,Sweden,57
SE,2023,10.37,66.393,4098.579485,Sweden,57
SE,2024,25.09,62.846,3999.07508,Sweden,57
SE,2025,35.04,,,Sweden,57
SI,2021,11.73,25.0,2091.4343449999997,Slovenia,11
SI,2023,11.37,25.066,1647.260615,Slovenia,11
SI,2024,20.89,25.001,1809.5627550000002,Slovenia,11
SI,2025,21.61,,,Slovenia,11
SK,2021,5.19,17.419,3635.386755,Slovakia,6
SK,2023,7.04,16.991,3179.7565799999998,Slovakia,6
SK,2024,10.78,18.092,2650.9132649999997,Slovakia,6
SK,2025,18.0,,,Slovakia,6
TR,2021,2.69,,79097.19817999999,Türkiye,0
TR,2023,5.51,,76613.49696,Türkiye,0
TR,2024,4.42,,80135.84078500001,Türkiye,0
TR,2025,7.41,,,Türkiye,0
